order,id,parent,implementation_status,eligibility,trigger,required_control,bank,seed_count,epoch_or_stop_rule,measured_seconds_per_update,projected_gpu_hours_low,projected_gpu_hours_central,projected_gpu_hours_high,peak_memory_gib,authorization_status,evidence_sha256,next_command
10,S6-temp-200,S5-count-ar,implemented,deferred_budget,software implemented; awaiting a GPU budget,B0,pilot,1,24 epochs or the frozen stop rule,0.11713,3.9,5.2,6.5,0.07,not authorized by the current prompt,a18a63173beda340,awaiting owner GPU budget
11,S7-ot-profile,selected_S6,implemented,deferred_budget,software implemented; awaiting a GPU budget,B0,pilot,1,24 epochs or the frozen stop rule,0.11713,3.9,5.2,6.5,0.07,not authorized by the current prompt,a18a63173beda340,awaiting owner GPU budget
12,V3-SUP,retained_supervised,implemented,deferred_budget,required control for every critic run,none,critic_generator_partition,1,24 epochs or the frozen stop rule,0.11713,80.7,107.6,134.5,0.07,not authorized by the current prompt,a18a63173beda340,awaiting owner GPU budget
13,C0,V3-SUP,implemented,deferred_budget,required control for every critic run,none,critic_generator_partition,1,24 epochs or the frozen stop rule,0.11713,80.7,107.6,134.5,0.07,not authorized by the current prompt,a18a63173beda340,awaiting owner GPU budget
14,D1-feature-r05,C0,implemented,conditional_predecessor,requires a promoted C0 and a resource pass,C0,critic_generator_partition,1,24 epochs or the frozen stop rule,0.48609,334.9,446.6,558.2,14.85,not authorized by the current prompt,a18a63173beda340,awaiting owner GPU budget
15,D1-direct-r05,C0,implemented,conditional_predecessor,requires a promoted C0 and a resource pass,C0,critic_generator_partition,1,24 epochs or the frozen stop rule,0.48609,334.9,446.6,558.2,14.85,not authorized by the current prompt,a18a63173beda340,awaiting owner GPU budget
16,D1-direct-r10,C0,implemented,conditional_predecessor,requires a promoted C0 and a resource pass,C0,critic_generator_partition,1,24 epochs or the frozen stop rule,0.48609,334.9,446.6,558.2,14.85,not authorized by the current prompt,a18a63173beda340,awaiting owner GPU budget
17,D1-direct-r20,C0,implemented,conditional_predecessor,requires a promoted C0 and a resource pass,C0,critic_generator_partition,1,24 epochs or the frozen stop rule,0.48609,334.9,446.6,558.2,14.85,not authorized by the current prompt,a18a63173beda340,awaiting owner GPU budget
18,D2-feature-r05,C0,implemented,conditional_predecessor,requires a promoted C0 and a resource pass,C0,critic_generator_partition,1,24 epochs or the frozen stop rule,0.15398,106.1,141.5,176.8,0.1,not authorized by the current prompt,a18a63173beda340,awaiting owner GPU budget
19,D2-direct-r05,C0,implemented,conditional_predecessor,requires a promoted C0 and a resource pass,C0,critic_generator_partition,1,24 epochs or the frozen stop rule,0.15398,106.1,141.5,176.8,0.1,not authorized by the current prompt,a18a63173beda340,awaiting owner GPU budget
20,D2-direct-r10,C0,implemented,conditional_predecessor,requires a promoted C0 and a resource pass,C0,critic_generator_partition,1,24 epochs or the frozen stop rule,0.15398,106.1,141.5,176.8,0.1,not authorized by the current prompt,a18a63173beda340,awaiting owner GPU budget
21,D2-direct-r20,C0,implemented,conditional_predecessor,requires a promoted C0 and a resource pass,C0,critic_generator_partition,1,24 epochs or the frozen stop rule,0.15398,106.1,141.5,176.8,0.1,not authorized by the current prompt,a18a63173beda340,awaiting owner GPU budget
22,D1-selected-3seed,C0,implemented,conditional_predecessor,single-seed arm must meet its predeclared criteria first,C0,critic_generator_partition,3,24 epochs or the frozen stop rule,0.48609,1004.8,1339.8,1674.7,14.85,not authorized by the current prompt,a18a63173beda340,awaiting owner GPU budget
23,D2-selected-3seed,C0,implemented,conditional_predecessor,single-seed arm must meet its predeclared criteria first,C0,critic_generator_partition,3,24 epochs or the frozen stop rule,0.15398,318.3,424.4,530.5,0.1,not authorized by the current prompt,a18a63173beda340,awaiting owner GPU budget
24,D12,selected_D1_D2,implemented,conditional_predecessor,requires a promoted C0 and a resource pass,C0,critic_generator_partition,1,24 epochs or the frozen stop rule,0.48609,334.9,446.6,558.2,14.85,not authorized by the current prompt,a18a63173beda340,awaiting owner GPU budget
25,D3-triggered,selected_supervised,implemented,conditional_metric_trigger,"support-topology distance above the truth-half floor and a leading C2ST feature family, plus tiny-geometry estimator QA",C0,critic_generator_partition,1,24 epochs or the frozen stop rule,0.52294,360.3,480.4,600.5,14.85,not authorized by the current prompt,a18a63173beda340,awaiting owner GPU budget
26,FINAL-V3-SUP,retained_supervised,implemented,conditional_predecessor,frozen validation selection and three seeds,C0,full_train,3,24 epochs or the frozen stop rule,0.11713,269.0,358.7,448.4,0.07,not authorized; the test split is not opened by the current prompt,a18a63173beda340,awaiting owner GPU budget
27,FINAL-V3-CRITIC,retained_critic,implemented,conditional_predecessor,frozen validation selection and three seeds,C0,full_train,3,24 epochs or the frozen stop rule,0.11713,269.0,358.7,448.4,0.07,not authorized; the test split is not opened by the current prompt,a18a63173beda340,awaiting owner GPU budget
